SOURCE_ID,phot_g_mean_mag,bp_rp,star_type
6070481457342308480,12.669732,0.939229,CEP
5937099633141128448,9.741439,1.8904037,CEP
5937186357109151744,14.76623,1.7822924,CEP
461369239530071936,10.742351,1.7655258,CEP
461493243824999168,14.580866,2.4820204,CEP
461565536715800064,14.575131,2.0062122,CEP
461710844045583744,14.269044,3.276948,CEP
461722560716262784,16.468626,3.0901375,CEP
462252662762965120,11.855264,2.0265818,CEP
5238530486651141888,14.113956,1.644865,CEP
462407693902385792,11.926359,2.1954603,CEP
5238583980437740416,14.556558,1.1774054,CEP
462634811770879872,15.380236,2.0016832,CEP
462785582303376768,14.348378,2.8455744,CEP
462799979033683968,15.027454,2.4989786,CEP
5238741489803991552,14.381265,2.4980145,CEP
5332812470537154560,18.40133,3.9826279,CEP
5332814841364268288,17.820742,3.4272995,CEP
5332836801528862976,16.140005,2.513052,CEP
5834051650980391168,20.121284,1.9741192,CEP
5332855699431220736,15.0103655,2.374651,CEP
5332860063117804928,17.541441,2.9208412,CEP
5332872226466822528,16.594372,2.7291489,CEP
5834089996510563328,16.430954,1.9403944,CEP
5332911980660141440,16.8186,2.3898687,CEP
5332925862022788096,12.746145,0.9646082,CEP
5834140711481073536,16.270172,1.6487818,CEP
5332968639886303104,12.347082,2.386302,CEP
5332969017843328000,16.000803,2.9393625,CEP
5332976916245633536,17.551779,3.407034,CEP
5333021343390563072,12.372034,2.2918901,CEP
5333022000564072832,13.766044,2.433031,CEP
4148154872828901504,16.6971,1.560564,CEP
4053114324654572672,15.310517,1.4408426,CEP
4295988952813227776,13.953749,1.083046,CEP
4152072840713183360,16.123766,1.8588066,CEP
3450913111743921152,12.408649,1.1499186,CEP
4152387232316030976,18.789917,4.340029,CEP
4152404446547959424,18.10327,5.359459,CEP
412556317739287424,16.239088,1.0517645,CEP
412675610446139520,12.0466795,1.160038,CEP
5859048841737190912,15.296598,2.0865202,CEP
5859105019918605824,16.887047,3.6821423,CEP
5859114571927308672,13.231513,2.9900732,CEP
5859119760248045312,10.9358835,1.9725819,CEP
4071671469593235328,15.441158,0.9680948,CEP
5542410585431412608,11.37952,1.3462524,CEP
5542528959037609984,11.372152,1.4920588,CEP
5918039491609445760,12.451235,0.91650486,CEP
5901341693879664512,13.096196,1.8484612,CEP
3125437672556115968,12.340501,1.4961948,CEP
5918637389718381184,15.690355,0.45637035,CEP
5918774038398874624,16.050325,0.64373493,CEP
4663654817788629632,16.003035,0.85321045,CEP
4663654955227614592,16.360737,0.5506382,CEP
4663661724096300672,16.18465,0.8142395,CEP
4663664026198869376,16.181995,0.8609762,CEP
4663665946029028608,15.690307,0.7779627,CEP
4663666736302057472,16.513206,0.7629051,CEP
4663667152935024896,16.043118,0.8658962,CEP
4663673436451091072,16.88257,0.7288723,CEP
4663679728599261824,17.732883,0.7041683,CEP
4663688593412552192,16.82392,0.712389,CEP
4663697183347354624,16.201565,0.6862993,CEP
4663699038757253376,18.421844,0.811039,CEP
4663699829031430016,18.317034,0.73451805,CEP
4663704605051144448,18.173882,0.73003197,CEP
4663704845569323776,15.621662,0.7534323,CEP
3125834802411655552,13.824723,1.899518,CEP
4663719001782038144,15.441623,0.5549841,CEP
4663724426303112576,16.32019,0.6286974,CEP
4663727999716713344,15.725904,0.6879482,CEP
4663729481502388224,16.300144,0.77118397,CEP
4663737620443578624,17.05225,0.6946354,CEP
4663759408825250048,15.996488,0.7853651,CEP
4663760164739511552,14.606213,0.9362068,CEP
4663762020165491456,15.924668,0.85093784,CEP
4663764081749782912,15.645321,0.8061867,CEP
4663771812691300736,16.420916,0.67160225,CEP
4663786346849472000,18.387661,0.6231518,CEP
4663788374085763968,16.380735,0.6500387,CEP
4663795447881950976,17.41586,0.5123997,CEP
4663830808364045824,17.327524,0.66799164,CEP
4663832114034162944,16.619995,0.7592602,CEP
4663875476024727680,15.974355,0.8000803,CEP
4663901211458099840,15.459087,0.8490391,CEP
4663907190052693376,15.78974,0.6484518,CEP
4663925606872505216,16.925043,0.6685333,CEP
4663937284881923840,16.746656,0.7194195,CEP
3126331060113010560,12.369353,1.5770102,CEP
4664042017668822144,15.554387,0.66059875,CEP
4664044044893458944,15.547289,0.6241617,CEP
4664051638395757440,15.70107,0.8678322,CEP
4664058201105626496,16.835545,0.704052,CEP
4664069093142911744,15.449124,0.5437956,CEP
4664084692464690048,15.725117,0.6447096,CEP
4664103482936463872,17.292337,0.6652336,CEP
4664131902745936128,15.551416,0.7697363,CEP
4664140904997448192,16.78215,0.55194473,CEP
4664155091263595776,16.73455,0.68943214,CEP
3126452998526263040,11.961139,1.9656734,CEP
4664208898612419200,17.274036,0.6252003,CEP
4664225498668621440,16.537956,0.63484573,CEP
4664233568906334848,18.269003,0.7221222,CEP
4664274255137737984,15.787978,0.84789085,CEP
4664341114886551040,17.746948,0.19057465,CEP
3351921532976862336,11.810929,1.8715315,CEP
4312305460506548352,18.590553,3.6124,CEP
4664561743063970560,17.345123,0.3565693,CEP
4664612492399408128,11.845569,1.2877522,CEP
4664701999513624704,18.468733,0.58945465,CEP
4664714880120551680,18.288378,0.5924282,CEP
4664797687089142784,18.225405,0.67710876,CEP
4312361436842603520,7.822873,1.7116365,CEP
4312416378066707456,17.944353,3.2121162,CEP
4312493309529874944,14.857632,3.123396,CEP
2202695937935740160,17.988451,2.207077,CEP
2202863166783787520,13.166348,2.0860453,CEP
2203140071913180032,14.198451,2.7874966,CEP
2203151685505220992,16.986084,2.296956,CEP
4054125944075206912,17.446358,3.3361511,CEP
4312219187494119680,18.550125,3.8531914,CEP
4312228980050786048,16.180874,3.6033173,CEP
