_RAJ2000	_DEJ2000	HIP	Vmag	RAICRS	DEICRS	Plx	B-V	Survey	Chart	Notes	SpType
86.1932449367	-65.7355259249	27100	4.34	86.19341279	-65.7355408	22.48	0.217	S	 	 	A7V
258.4331218583	40.9953200003	84279	10.1	258.43312276	40.99537216	3.78	0.458	 	 	 	F5
66.4519801587	-50.2253047812	20681	8.76	66.45188123	-50.225417	4.19	1.1	 	 	D	G8IV
261.9336540899	8.4420390893	85450	6.42	261.93362195	8.44214144	3.96	1.66	S	 	 	M4III
186.1766998977	-60.9041304585	60546	7.14	186.17675328	-60.90412183	2.29	1.193	S	 	 	B9V
255.2320876531	-56.4800071042	83250	8.2	255.23212282	-56.479953	0.22	1.661	 	 	 	M3/M4Ib
137.7128673184	39.7876881454	45073	8.04	137.71291992	39.78778126	9.02	0.36	S	 	 	F0
260.0004184587	7.969690174	84805	7.85	260.00039961	7.96968524	5.61	0.275	S	 	 	A0
195.4364450889	30.6908558924	63581	10.19	195.43618613	30.69142491	18.4	0.978	 	 	 	K2V
169.080341894	24.2270211319	55061	9.57	169.08036263	24.22709925	6.81	0.453	 	 	 	G
168.5164327124	28.9602508539	54868	10.49	168.51642999	28.96030034	0.34	0.6	 	G	 	F8
261.1617361537	39.2095525521	85201	7.35	261.16179406	39.2095045	3.78	1.274	 	 	 	K5
158.0059263253	29.7326283823	51574	7.86	158.00568793	29.73265682	10.65	0.614	S	 	 	G2V
55.6368254327	-85.2619637286	17328	6.4	55.63620779	-85.26202284	6.78	-0.005	S	 	 	B9V
68.4350293531	-5.3096677765	21264	6.66	68.43503631	-5.30951278	6.14	1.061	S	 	 	K0
290.7515653722	42.9741882089	95272	7.01	290.75155431	42.97418607	6.46	0.019	S	 	 	A0
0.4911922787	46.26915575	155	9.93	0.49113894	46.26916275	2.28	0.283	 	G	 	A2
5.7684552567	-14.7920391629	1822	9.69	5.76844407	-14.79207934	6.04	0.56	 	 	 	F8
161.3179741707	-80.4695969457	52595	5.46	161.3182296	-80.4695233	9.21	0.957	S	 	 	K0III
222.0229318471	-41.8631150235	72394	8.54	222.02305172	-41.86298635	4.55	1.205	 	 	 	K2III
281.5546352432	-57.0816455676	92099	8.87	281.55454709	-57.08153296	5.27	1.058	 	 	 	K0III
8.2252886232	8.2798105179	2594	9.89	8.22530169	8.27983232	1.63	0.895	 	 	 	K0
173.1769808851	-65.8634243344	56313	8.18	173.1770408	-65.86343289	1.74	0.14	 	 	 	B7/B8III/IV
65.0692851233	7.8536902028	20244	7.95	65.0692956	7.8537078	3.04	0.159	S	 	 	B8
168.2767842785	68.7679595839	54797	8.24	168.27677005	68.76805632	10.2	0.581	S	 	 	G0
49.9239791052	48.9136401639	15499	9.24	49.92388868	48.91370715	4.74	0.457	 	 	 	F2V
301.1256298168	5.1750244392	98860	8.7	301.12559892	5.17504996	5.38	1.091	 	 	 	G5
303.1671264472	-34.356622636	99591	9.07	303.1676022	-34.35657738	20.02	0.75	 	 	 	G8V
296.6365330085	50.0103412778	97304	6.68	296.63651285	50.01038425	4.01	1.13	S	 	 	K0
95.8449776283	-4.687506774	30387	6.66	95.84496841	-4.68746859	8.37	0.063	S	 	 	A2V
108.4571910642	10.6907790651	34942	6.95	108.45719052	10.69080427	5.53	1.0	S	 	 	K0
272.6882162952	53.2902932065	89073	9.06	272.68819629	53.29033071	1.3	1.259	 	 	 	K5
56.2581329644	-19.1348670365	17517	8.74	56.25812697	-19.13481704	4.5	0.6	 	 	 	G0V
283.5913681434	10.8083340369	92779	6.54	283.59133845	10.80831328	2.56	1.311	S	 	 	K2
52.3316143037	16.1983585067	16241	8.33	52.33155528	16.19845534	8.91	0.465	S	 	 	F0
