FID,FID_1,DISTRITO,NOMBRE,DIRECCION,TELEFONO,WEB,LATITUD,LONGITUD,CreationDa,Creator,EditDate,Editor,Fotos,GlobalID,x,y
1,1,Macarena - Norte,Biblioteca Los Carteros,"Avda. Pino Montano, 31",954975036,http://www.rmbs.es/blog/biblioteca-los-carteros,37.41116,-5.971563,2014-09-28T22:28:05.313Z,Ayto.Sevilla,2014-09-28T22:28:05.313Z,Ayto.Sevilla,http://sig.urbanismosevilla.org/sevilla.art/images/bibliotecas/Biblioteca Los Carteros.JPG,fb51a520-524f-460f-bc35-a59b2d135712,-664751.352399953,4496573.20018213
2,2,Este - Alcosa - Torrebla,Biblioteca Parque Alcosa,"Avda. Ciudad de Chivas, s/n",954474220,http://www.rmbs.es/blog/biblioteca-parque-alcosa,37.410306,-5.924347,2014-09-28T22:28:05.313Z,Ayto.Sevilla,2014-09-28T22:28:05.313Z,Ayto.Sevilla,http://sig.urbanismosevilla.org/sevilla.art/images/bibliotecas/Biblioteca Alcosa.jpg,29698e3d-0e8c-4b1e-a169-65a7f7c1b655,-659495.291322658,4496453.51398561
3,3,Este - Alcosa - Torrebla,Biblioteca Centro Cívico Blas Infantes,"C/ Flor de Retama, 1",954474208,http://www.rmbs.es/blog/biblioteca-blas-infante,37.396997,-5.918904,2014-09-28T22:28:05.313Z,Ayto.Sevilla,2014-09-28T22:28:05.313Z,Ayto.Sevilla,http://sig.urbanismosevilla.org/sevilla.art/images/bibliotecas/Biblioteca Blas Infante.jpg,8ba2d034-241d-47ac-8768-4e06618f8f7f,-658889.37933427,4494588.46358475
4,4,Macarena - Norte,Biblioteca Entreparques,"C/ Corral de los Olmos, s/n",954975001,http://www.rmbs.es/blog/biblioteca-entreparques,37.417181,-5.968591,2014-09-28T22:28:05.313Z,Ayto.Sevilla,2014-09-28T22:28:05.313Z,Ayto.Sevilla,http://sig.urbanismosevilla.org/sevilla.art/images/bibliotecas/Biblioteca Entreparques.JPG,40b2755b-973b-44f7-9c74-83a2dbc9e01f,-664420.510873316,4497417.06863769
5,5, ,Biblioteca San Jerónimo,"C/ Cataluña, s/n (Monasterio de San Jeró",954904101,http://www.rmbs.es/blog/biblioteca-san-jeronimo,37.424253,-5.985882,2014-09-28T22:28:05.313Z,Ayto.Sevilla,2014-09-28T22:28:05.313Z,Ayto.Sevilla,http://sig.urbanismosevilla.org/sevilla.art/images/bibliotecas/Biblioteca San Jeronimo.jpg,318830dd-20b8-49f7-b48e-c228992594a8,-666345.336188622,4498408.32580481
6,6,Este - Alcosa - Torrebla,Biblioteca Torreblanca,"Plaza Salvador Valverde, 6",955471548,http://www.rmbs.es/blog/biblioteca-torreblanca,37.382194,-5.902918,2014-09-28T22:28:05.313Z,Ayto.Sevilla,2014-09-28T22:28:05.313Z,Ayto.Sevilla,http://sig.urbanismosevilla.org/sevilla.art/images/bibliotecas/Biblioteca Torreblanca.jpg,f0bd57ce-3950-4a78-bb97-90a0f31c4ca6,-657109.825954449,4492514.44120112
7,7,Casco Antiguo,Biblioteca San Julian,"Ronda de Capuchinos, 4",954988243,http://www.rmbs.es/blog/biblioteca-san-julian,37.399523,-5.983884,2014-09-28T22:28:05.313Z,Ayto.Sevilla,2014-09-28T22:28:05.313Z,Ayto.Sevilla,http://sig.urbanismosevilla.org/sevilla.art/images/bibliotecas/Biblioteca San Julian.JPG,e6ff6620-e59e-48fb-a18f-eb724b407bdd,-666122.919846017,4494942.41792784
8,8,Casco Antiguo,Biblioteca Alberto Lista,"C/ Feria, 57",955472081,http://www.rmbs.es/blog/biblioteca-alberto-lista,37.398233,-5.991682,2014-09-28T22:28:05.313Z,Ayto.Sevilla,2014-09-28T22:28:05.313Z,Ayto.Sevilla,http://sig.urbanismosevilla.org/sevilla.art/images/bibliotecas/Biblioteca Alberto Lista.JPG,9abd8765-9430-4a75-b839-e833393a12f6,-666990.989235223,4494761.65590577
9,9,Triana,Biblioteca Las Columnas,"C/ Pureza, 79",955471568,http://www.rmbs.es/blog/biblioteca-las-columnas,37.383171,-6.000213,2014-09-28T22:28:05.313Z,Ayto.Sevilla,2014-09-28T22:28:05.313Z,Ayto.Sevilla,http://sig.urbanismosevilla.org/sevilla.art/images/bibliotecas/Biblioteca Las Columnas.JPG,27a0a55a-f43a-4ea1-bb69-14e743fd3fab,-667940.65581118,4492651.31433739
10,10,Cerro - Amate,Biblioteca Cerro del Aguila,"C/ Salvador Tavora, s/n",954932820,http://www.rmbs.es/blog/biblioteca-cerro-del-aguila,37.3696,-5.962174,2014-09-28T22:28:05.313Z,Ayto.Sevilla,2014-09-28T22:28:05.313Z,Ayto.Sevilla,http://sig.urbanismosevilla.org/sevilla.art/images/bibliotecas/Biblioteca Cerro Aguila.jpg,c6bf8e61-3030-47ad-b41f-620af0435ae6,-663706.173700895,4490750.24025117
