FID,Código,Nombre,Tipo,Dirección,Teléfono,Web,x,y
1,2643,Virgen del Rocío,Hospital regional,"Av Manuel Siurot, s/n",955012000,http://www.juntadeandalucia.es/servicioandaluzdesalud/centros/Detalle.asp?IdCentro=16477&CodTipoCentro=1&CodPostal=&Municipio=sevilla&Provincia=41,-665845.622994451,4489612.22572006
2,2644,Virgen Macarena,Hospital regional,"Av Dr. Fedriani, 3",955008000,http://www.juntadeandalucia.es/servicioandaluzdesalud/centros/Detalle.asp?IdCentro=16485&CodTipoCentro=1&CodPostal=&Municipio=sevilla&Provincia=41,-666439.512477833,4495952.50038666
3,2645,Virgen de Valme,Hospital de especialidades,"Ctra. de Cádiz Km. 548,9",955015000,http://www.juntadeandalucia.es/servicioandaluzdesalud/centros/Detalle.asp?IdCentro=16490&CodTipoCentro=1&CodPostal=&Municipio=sevilla&Provincia=41,-664567.452601163,4483641.94490302
4,2646,Doctor Fleming de Sevilla,Centro de consultas externas,"C/ Juan de Padilla, 8",955016900,http://www.juntadeandalucia.es/servicioandaluzdesalud/centros/Detalle.asp?IdCentro=16483&CodTipoCentro=2&CodPostal=&Municipio=sevilla&Provincia=41,-664288.263318253,4491988.53979836
5,2647,Esperanza Macarena de Sevilla,Centro de consultas externas,"C/ María Auxiliadora, 4",955017505,http://www.juntadeandalucia.es/servicioandaluzdesalud/centros/Detalle.asp?IdCentro=16489&CodTipoCentro=2&CodPostal=&Municipio=sevilla&Provincia=41,-666037.76043556,4494217.00638803
6,2648,San Jerónimo de Sevilla,Centro de consultas externas,"C/ Medina y Galnares, 129",955007700,http://www.juntadeandalucia.es/servicioandaluzdesalud/centros/Detalle.asp?IdCentro=16488&CodTipoCentro=2&CodPostal=&Municipio=sevilla&Provincia=41,-665762.912612791,4499371.91962102
7,2649,Virgen de los Reyes de Sevilla,Centro de consultas externas,"C/ Marqués de Paradas, 49",955017300,http://www.juntadeandalucia.es/servicioandaluzdesalud/centros/Detalle.asp?IdCentro=16484&CodTipoCentro=2&CodPostal=&Municipio=sevilla&Provincia=41,-668033.830224975,4493690.59953904
8,2650,Centro de Diagnóstico y Trat. Virgen del Rocío,Centro de consultas externas,"Avda. Manuel Siurot, s/n",955012000,http://www.juntadeandalucia.es/servicioandaluzdesalud/centros/Detalle.asp?IdCentro=16479&CodTipoCentro=2&CodPostal=&Municipio=sevilla&Provincia=41,-665758.793791632,4489648.92038493
9,2651,Policlínico Virgen Macarena,Centro de consultas externas,"Avda. Doctor Fedriani, 3",955008000,http://www.juntadeandalucia.es/servicioandaluzdesalud/centros/Detalle.asp?IdCentro=16486&CodTipoCentro=2&CodPostal=&Municipio=sevilla&Provincia=41,-666504.634379947,4495802.9717677
10,2652,Aeropuerto Viejo,Consultorio,"C/ Fuente Milanos, 6",902505061,http://www.juntadeandalucia.es/servicioandaluzdesalud/centros/Detalle.asp?IdCentro=25429&CodTipoCentro=3&CodPostal=&Municipio=sevilla&Provincia=41,-660746.299760193,4498042.05982658
11,2653,Alamillo,Centro de salud,"Avda. de Sánchez Pizjuán, s/n",955402100,http://www.juntadeandalucia.es/servicioandaluzdesalud/centros/Detalle.asp?IdCentro=25485&CodTipoCentro=3&CodPostal=&Municipio=sevilla&Provincia=41,-666259.50886122,4496809.77350609
12,2654,Alcosa ""Mercedes Navarro"",Centro de salud,"C/ Ciudad de Paterna, s/n",954786845,http://www.juntadeandalucia.es/servicioandaluzdesalud/centros/Detalle.asp?IdCentro=25007&CodTipoCentro=3&CodPostal=&Municipio=sevilla&Provincia=41,-659892.813224281,4496819.58413165
13,2655,Amante Laffón,Centro de salud,"Plaza de San Martin de Porres, 19",954712840,http://www.juntadeandalucia.es/servicioandaluzdesalud/centros/Detalle.asp?IdCentro=25032&CodTipoCentro=3&CodPostal=&Municipio=sevilla&Provincia=41,-669008.766325342,4492332.03972716
14,2656,Amate,Centro de salud,"Avda. Los Gavilanes, s/n",954712101,http://www.juntadeandalucia.es/servicioandaluzdesalud/centros/Detalle.asp?IdCentro=25033&CodTipoCentro=3&CodPostal=&Municipio=sevilla&Provincia=41,-662661.885557763,4491738.76692685
