FID,FID_1,Código,Tipo,Nombre,Latitud,longitud,Fecha_Alta,Fecha_Baja,CreationDa,Creator,EditDate,Editor,Web,Foto,Texto,Texto2,GlobalID,x,y
1,1,6575,Centro de Servicios Sociales,Servicio de Intervención de los Servicios Sociales,37.40492,-5.985059,"C/ Fray Isidoro de Sevilla, 1",955472166,2014-10-04T21:44:52.843Z,Ayto.Sevilla,2014-10-04T21:44:52.843Z,Ayto.Sevilla, ,http://sig.urbanismosevilla.org/sevilla.art/images/C_Servicios_Sociales/CSS_Macarena.JPG,"El contenido de los Servicios Sociales comprende aquellos recursos, actividades y prestaciones organizadas para la promoción del desarrollo de las personas y grupos sociales para la obtención de mayor bienestar social y una mejor calidad de vida,",así como para la prevención y eliminación de la marginación social.,a95229f8-0dfa-45b0-b86d-ddd7aa75ea17,-666253.720247699,4495698.70952606
2,2,6576,Centro de Servicios Sociales,CSS Triana-Los Remedios,37.384209,-6.004197,"C/ San Jacinto, 27",955473535,2014-10-04T21:44:52.843Z,Ayto.Sevilla,2014-10-04T21:44:52.843Z,Ayto.Sevilla, ,http://sig.urbanismosevilla.org/sevilla.art/images/C_Servicios_Sociales/CSS_Triana.jpg,"El contenido de los Servicios Sociales comprende aquellos recursos, actividades y prestaciones organizadas para la promoción del desarrollo de las personas y grupos sociales para la obtención de mayor bienestar social y una mejor calidad de vida,",así como para la prevención y eliminación de la marginación social.,a7c9f01d-be70-4269-8e7f-86359c387f01,-668384.152662501,4492796.73524257
3,3,6578,Centro de Servicios Sociales,CSS Alcosa-Polígono Aeropuerto,37.399757,-5.926355,"Avda. de las Ciencias, 43B",955471600,2014-10-04T21:44:52.843Z,Ayto.Sevilla,2014-10-04T21:44:52.843Z,Ayto.Sevilla, ,http://sig.urbanismosevilla.org/sevilla.art/images/C_Servicios_Sociales/CSS_SevEste_Alcosa.jpg,"El contenido de los Servicios Sociales comprende aquellos recursos, actividades y prestaciones organizadas para la promoción del desarrollo de las personas y grupos sociales para la obtención de mayor bienestar social y una mejor calidad de vida,",así como para la prevención y eliminación de la marginación social.,69dbdbbc-aba8-4f51-a1fe-a8bc74d4575a,-659718.820860171,4494975.20765129
4,4,6579,Centro de Servicios Sociales,CSS Cerro-Su eminencia,37.374718,-5.956628,"C/ Tarragona, 3",955472555,2014-10-04T21:44:52.843Z,Ayto.Sevilla,2014-10-04T21:44:52.843Z,Ayto.Sevilla, ,http://sig.urbanismosevilla.org/sevilla.art/images/C_Servicios_Sociales/CSS_SuEminencia.JPG,"El contenido de los Servicios Sociales comprende aquellos recursos, actividades y prestaciones organizadas para la promoción del desarrollo de las personas y grupos sociales para la obtención de mayor bienestar social y una mejor calidad de vida,",así como para la prevención y eliminación de la marginación social.,8f2899b1-bfc3-462e-afc2-cfff58186211,-663088.795804956,4491467.14754727
5,5,6580,Centro de Servicios Sociales,CSS Torreblanca,37.38451,-5.912597,"C/ Mitra, s/n",955471340,2014-10-04T21:44:52.843Z,Ayto.Sevilla,2014-10-04T21:44:52.843Z,Ayto.Sevilla, ,http://sig.urbanismosevilla.org/sevilla.art/images/C_Servicios_Sociales/CSS_Torreblanca.jpg,"El contenido de los Servicios Sociales comprende aquellos recursos, actividades y prestaciones organizadas para la promoción del desarrollo de las personas y grupos sociales para la obtención de mayor bienestar social y una mejor calidad de vida,",así como para la prevención y eliminación de la marginación social.,c5129c71-9872-49ee-a03f-f12be0aeb668,-658187.287305837,4492838.90487964
6,6,6581,Centro de Servicios Sociales,CSS Macarena,37.404775,-5.986229,"C/ Fray Isidoro de Sevilla, 1",955472222,2014-10-04T21:44:52.843Z,Ayto.Sevilla,2014-10-04T21:44:52.843Z,Ayto.Sevilla, ,http://sig.urbanismosevilla.org/sevilla.art/images/C_Servicios_Sociales/CSS_Macarena.jpg,"El contenido de los Servicios Sociales comprende aquellos recursos, actividades y prestaciones organizadas para la promoción del desarrollo de las personas y grupos sociales para la obtención de mayor bienestar social y una mejor calidad de vida,",así como para la prevención y eliminación de la marginación social.,3c7365e0-1cbb-4483-abb6-1a5568a9d385,-666383.964051927,4495678.38969561
7,7,6582,Centro de Servicios Sociales,CSS San Jerónimo,37.430607,-5.98165,"C/ Mejillón, 65",954915434,2014-10-04T21:44:52.843Z,Ayto.Sevilla,2014-10-04T21:44:52.843Z,Ayto.Sevilla, ,http://sig.urbanismosevilla.org/sevilla.art/images/C_Servicios_Sociales/CSS_SanJeronimo.jpg,"El contenido de los Servicios Sociales comprende aquellos recursos, actividades y prestaciones organizadas para la promoción del desarrollo de las personas y grupos sociales para la obtención de mayor bienestar social y una mejor calidad de vida,",así como para la prevención y eliminación de la marginación social.,0d28949a-b5b5-4cb0-947b-4fe67e64423e,-665874.232103585,4499299.02331062
8,9,6584,Centro de Servicios Sociales,CSS Los Carteros Sede-2,37.413096,-5.970038,"Avda. Pino Montano, 63",954975013,2014-10-04T21:44:52.843Z,Ayto.Sevilla,2014-10-04T21:44:52.843Z,Ayto.Sevilla, ,http://sig.urbanismosevilla.org/sevilla.art/images/C_Servicios_Sociales/CSS_LosCarteros2.jpg,"El contenido de los Servicios Sociales comprende aquellos recursos, actividades y prestaciones organizadas para la promoción del desarrollo de las personas y grupos sociales para la obtención de mayor bienestar social y una mejor calidad de vida,",así como para la prevención y eliminación de la marginación social.,720c8a91-63ef-4b5d-be9f-0d89353637ed,-664581.590176493,4496844.53131986
9,8,6583,Centro de Servicios Sociales,CSS Los Carteros Sede-1,37.413793,-5.969384,"Avda. Pino Montano, 67",954975013,2014-10-04T21:44:52.843Z,Ayto.Sevilla,2014-10-04T21:44:52.843Z,Ayto.Sevilla, ,http://sig.urbanismosevilla.org/sevilla.art/images/C_Servicios_Sociales/CSS_LosCarteros1.jpg,"El contenido de los Servicios Sociales comprende aquellos recursos, actividades y prestaciones organizadas para la promoción del desarrollo de las personas y grupos sociales para la obtención de mayor bienestar social y una mejor calidad de vida,",así como para la prevención y eliminación de la marginación social.,810b680a-8200-4fc1-9d99-1d70770c3f8b,-664508.787229515,4496942.21785233
10,10,6585,Centro de Servicios Sociales,CSS Polígono Norte,37.405095,-5.985979,"C/ Fray Isidoro de Sevilla, 1",955472222,2014-10-04T21:44:52.843Z,Ayto.Sevilla,2014-10-04T21:44:52.843Z,Ayto.Sevilla, ,http://sig.urbanismosevilla.org/sevilla.art/images/C_Servicios_Sociales/CSS_Macarena.jpg,"El contenido de los Servicios Sociales comprende aquellos recursos, actividades y prestaciones organizadas para la promoción del desarrollo de las personas y grupos sociales para la obtención de mayor bienestar social y una mejor calidad de vida,",así como para la prevención y eliminación de la marginación social.,c3271ef9-1afc-459b-984f-8a97d29469c2,-666356.134179229,4495723.23351173
