latitude,longitude,soil_moisture,brightness_temperature
79.76896,-88.69295,0.20694035,238.98962
79.76896,-87.94606,0.17212103,244.50946
79.76896,-87.57262,0.1479045,250.703
79.76896,-87.19917,0.21112521,239.07584
79.76896,-86.452286,0.31844068,223.00063
79.76896,-86.078835,0.34254754,217.79327
79.76896,-85.70539,0.29014394,225.40976
79.76896,-85.33195,0.31295964,222.41162
79.76896,-84.9585,0.13404082,254.9461
79.76896,-84.58506,0.12221355,258.37296
79.76896,-84.21162,0.12631314,255.66324
79.76896,-83.83817,0.15925512,249.70378
79.76896,-83.46473,0.14205821,252.9237
79.76896,-83.091286,0.11065129,258.209
79.76896,-82.71784,0.16552463,247.93231
79.76896,-82.3444,0.14738789,252.49753
79.76896,-81.970955,0.26889655,232.27121
79.76896,-81.59751,0.74085677,150.50095
78.30298,-111.47303,0.17351657,242.34003
78.30298,-102.88382,0.31063095,217.74649
78.30298,-101.76349,0.32295197,213.07198
78.30298,-101.016594,0.33636227,210.17006
78.30298,-100.64315,0.21062054,234.8443
78.30298,-97.28216,0.3826212,208.31604
78.30298,-96.53527,0.30093598,223.28204
78.30298,-96.16183,0.3196307,217.8594
78.30298,-95.78838,0.3605082,211.03755
78.30298,-92.05394,0.3597006,225.36708
78.30298,-90.560165,0.121876076,255.91852
78.30298,-89.06639,0.25283358,240.6004
78.30298,-87.19917,0.13211955,254.83398
78.30298,-86.82573,0.33390602,223.17703
78.30298,-86.452286,0.31607774,224.20541
78.30298,-86.078835,0.3075222,225.57562
78.30298,-85.70539,0.28607503,230.608
78.30298,-85.33195,0.15341148,251.35004
78.30298,-84.9585,0.06647138,266.7251
78.30298,-84.21162,0.18223189,248.28464
78.30298,-83.83817,0.17757623,246.31482
78.30298,-83.46473,0.2111948,239.2076
78.30298,-83.091286,0.23434886,238.22371
78.30298,-82.71784,0.2035088,240.90036
78.30298,-82.3444,0.24395561,236.27542
78.30298,-81.970955,0.21747401,238.17572
78.30298,-71.51453,0.21296515,240.28409
78.30298,-70.76763,0.18980472,244.38217
78.30298,-70.39419,0.22175705,236.47821
78.30298,100.64315,0.24400578,230.56726
76.99911,-119.6888,0.3407301,212.78267
76.99911,-119.31535,0.35282686,217.61282
76.99911,-118.94191,0.3149962,220.22726
76.99911,-118.56847,0.42359513,207.40063
76.99911,-118.19502,0.4151412,207.45065
76.99911,-117.448135,0.32239884,215.89738
76.99911,-94.66805,0.6933129,166.55807
76.99911,-90.18672,0.4972282,196.24747
76.99911,-84.21162,0.27498206,234.66434
76.99911,-69.6473,0.2063341,244.54779
76.99911,-69.27386,0.5193824,219.63663
76.99911,-21.099585,0.16826332,260.1768
76.99911,-20.726141,0.24316084,240.22935
76.99911,101.76349,0.35305065,222.24066
76.99911,102.13693,0.27002686,232.74486
76.99911,102.510376,0.24989149,234.62799
76.99911,102.88382,0.24291708,233.33551
76.99911,103.25726,0.21476622,236.7954
76.99911,103.63071,0.2357348,235.54706
76.99911,104.00415,0.22738595,238.32658
76.99911,104.377594,0.15502746,249.20007
76.99911,104.75104,0.15344131,249.53035
76.99911,105.12448,0.100038745,258.32367
76.99911,105.497925,0.676434,175.27853
76.99911,105.87137,0.3053236,226.03784
76.99911,106.24481,0.27630657,228.79211
75.81257,-116.327805,0.3082842,223.39105
75.81257,-115.95435,0.123056516,256.07358
75.81257,-115.58091,0.16322988,248.56525
75.81257,-115.207466,0.17989507,241.92276
75.81257,-114.46058,0.20112172,237.99115
75.81257,-114.087135,0.21003142,238.19391
75.81257,-113.71369,0.20593196,238.99625
75.81257,-113.34025,0.18041906,243.27603
75.81257,-112.21992,0.1393187,251.10468
75.81257,-111.84647,0.23385496,231.07733
75.81257,-109.60581,0.15900417,244.91599
75.81257,-109.23237,0.267692,224.90979
75.81257,-108.858925,0.047841024,273.52252
75.81257,-108.48547,0.19229281,236.93654
75.81257,-108.11203,0.17998327,239.82181
75.81257,-107.73859,0.19162618,237.97409
75.81257,-107.36514,0.24683101,226.4615
75.81257,-106.9917,0.24262956,227.327
75.81257,-106.618256,0.10047762,259.66248
75.81257,-105.87137,0.03167297,274.31152
75.81257,-101.76349,0.29993454,220.2287
75.81257,-101.390045,0.27829698,224.07104
75.81257,-101.016594,0.26170662,225.44211
75.81257,-100.64315,0.2554798,226.74136
75.81257,-100.26971,0.08451091,265.69153
75.81257,-99.89626,0.084999755,264.41656
75.81257,-99.52282,0.17828156,241.77887
75.81257,-99.149376,0.20347032,235.17264
75.81257,-98.77593,0.21908046,232.33202
75.81257,-97.6556,0.17467345,249.46658
75.81257,-19.979254,0.3497186,231.56793
75.81257,92.80083,0.6994333,155.7487
75.81257,93.17427,0.69726896,163.59125
75.81257,93.547714,0.41911256,214.85489
75.81257,93.921165,0.27338696,233.07346
75.81257,94.29461,0.2901255,232.4844
75.81257,94.66805,0.2613222,235.94144
75.81257,95.0415,0.25420588,237.24695
75.81257,95.41494,0.25439554,237.28479
75.81257,95.78838,0.24955408,237.7861
75.81257,96.16183,0.28454933,234.23642
75.81257,96.53527,0.2646723,235.9639
75.81257,96.908714,0.123048365,255.27808
75.81257,97.28216,0.10276773,258.41925
75.81257,97.6556,0.17776339,247.573
75.81257,98.029045,0.29407606,235.0123
75.81257,98.40249,0.18391202,248.12503
75.81257,98.77593,0.1699884,250.01047
75.81257,99.149376,0.18305987,248.63835
75.81257,99.52282,0.69334006,155.30063
75.81257,99.89626,0.1935679,247.70013
75.81257,100.26971,0.22410016,244.7526
75.81257,100.64315,0.2047681,245.96548
75.81257,101.016594,0.20693229,245.7547
75.81257,101.390045,0.21577467,244.29108
75.81257,101.76349,0.19242294,246.95273
75.81257,102.13693,0.20218712,245.47404
75.81257,102.510376,0.19275685,246.78256
75.81257,102.88382,0.18739276,247.2098
75.81257,103.25726,0.19981037,245.28064
75.81257,103.63071,0.19854033,244.44885
75.81257,104.00415,0.18785249,244.93774
75.81257,104.377594,0.18477733,245.45221
75.81257,104.75104,0.16957188,245.22844
75.81257,105.12448,0.17197838,246.67339
75.81257,105.497925,0.17652763,246.6059
75.81257,105.87137,0.18522991,245.518
75.81257,106.24481,0.18576004,245.3952
