latitude,longitude,soil_moisture
79.76896,-88.69295,0.20694035
79.76896,-87.94606,0.17212103
79.76896,-87.57262,0.1479045
79.76896,-87.19917,0.21112521
79.76896,-86.452286,0.31844068
79.76896,-86.078835,0.34254754
79.76896,-85.70539,0.29014394
79.76896,-85.33195,0.31295964
79.76896,-84.9585,0.13404082
79.76896,-84.58506,0.12221355
79.76896,-84.21162,0.12631314
79.76896,-83.83817,0.15925512
79.76896,-83.46473,0.14205821
79.76896,-83.091286,0.11065129
79.76896,-82.71784,0.16552463
79.76896,-82.3444,0.14738789
79.76896,-81.970955,0.26889655
79.76896,-81.59751,0.74085677
78.30298,-111.47303,0.17351657
78.30298,-102.88382,0.31063095
78.30298,-101.76349,0.32295197
78.30298,-101.016594,0.33636227
78.30298,-100.64315,0.21062054
78.30298,-97.28216,0.3826212
78.30298,-96.53527,0.30093598
78.30298,-96.16183,0.3196307
78.30298,-95.78838,0.3605082
78.30298,-92.05394,0.3597006
78.30298,-90.560165,0.121876076
78.30298,-89.06639,0.25283358
78.30298,-87.19917,0.13211955
78.30298,-86.82573,0.33390602
78.30298,-86.452286,0.31607774
78.30298,-86.078835,0.3075222
78.30298,-85.70539,0.28607503
78.30298,-85.33195,0.15341148
78.30298,-84.9585,0.06647138
78.30298,-84.21162,0.18223189
78.30298,-83.83817,0.17757623
78.30298,-83.46473,0.2111948
78.30298,-83.091286,0.23434886
78.30298,-82.71784,0.2035088
78.30298,-82.3444,0.24395561
78.30298,-81.970955,0.21747401
78.30298,-71.51453,0.21296515
78.30298,-70.76763,0.18980472
78.30298,-70.39419,0.22175705
78.30298,100.64315,0.24400578
76.99911,-119.6888,0.3407301
76.99911,-119.31535,0.35282686
76.99911,-118.94191,0.3149962
76.99911,-118.56847,0.42359513
76.99911,-118.19502,0.4151412
76.99911,-117.448135,0.32239884
76.99911,-94.66805,0.6933129
76.99911,-90.18672,0.4972282
76.99911,-84.21162,0.27498206
76.99911,-69.6473,0.2063341
76.99911,-69.27386,0.5193824
76.99911,-21.099585,0.16826332
76.99911,-20.726141,0.24316084
76.99911,101.76349,0.35305065
76.99911,102.13693,0.27002686
76.99911,102.510376,0.24989149
76.99911,102.88382,0.24291708
76.99911,103.25726,0.21476622
76.99911,103.63071,0.2357348
76.99911,104.00415,0.22738595
76.99911,104.377594,0.15502746
76.99911,104.75104,0.15344131
76.99911,105.12448,0.100038745
76.99911,105.497925,0.676434
76.99911,105.87137,0.3053236
76.99911,106.24481,0.27630657
75.81257,-116.327805,0.3082842
75.81257,-115.95435,0.123056516
75.81257,-115.58091,0.16322988
75.81257,-115.207466,0.17989507
75.81257,-114.46058,0.20112172
75.81257,-114.087135,0.21003142
75.81257,-113.71369,0.20593196
75.81257,-113.34025,0.18041906
75.81257,-112.21992,0.1393187
75.81257,-111.84647,0.23385496
75.81257,-109.60581,0.15900417
75.81257,-109.23237,0.267692
75.81257,-108.858925,0.047841024
75.81257,-108.48547,0.19229281
75.81257,-108.11203,0.17998327
75.81257,-107.73859,0.19162618
75.81257,-107.36514,0.24683101
75.81257,-106.9917,0.24262956
75.81257,-106.618256,0.10047762
75.81257,-105.87137,0.03167297
75.81257,-101.76349,0.29993454
75.81257,-101.390045,0.27829698
75.81257,-101.016594,0.26170662
75.81257,-100.64315,0.2554798
75.81257,-100.26971,0.08451091
75.81257,-99.89626,0.084999755
75.81257,-99.52282,0.17828156
75.81257,-99.149376,0.20347032
75.81257,-98.77593,0.21908046
75.81257,-97.6556,0.17467345
75.81257,-19.979254,0.3497186
75.81257,92.80083,0.6994333
75.81257,93.17427,0.69726896
75.81257,93.547714,0.41911256
75.81257,93.921165,0.27338696
75.81257,94.29461,0.2901255
75.81257,94.66805,0.2613222
75.81257,95.0415,0.25420588
75.81257,95.41494,0.25439554
75.81257,95.78838,0.24955408
75.81257,96.16183,0.28454933
75.81257,96.53527,0.2646723
75.81257,96.908714,0.123048365
75.81257,97.28216,0.10276773
75.81257,97.6556,0.17776339
75.81257,98.029045,0.29407606
75.81257,98.40249,0.18391202
75.81257,98.77593,0.1699884
75.81257,99.149376,0.18305987
75.81257,99.52282,0.69334006
75.81257,99.89626,0.1935679
75.81257,100.26971,0.22410016
75.81257,100.64315,0.2047681
75.81257,101.016594,0.20693229
75.81257,101.390045,0.21577467
75.81257,101.76349,0.19242294
75.81257,102.13693,0.20218712
75.81257,102.510376,0.19275685
75.81257,102.88382,0.18739276
75.81257,103.25726,0.19981037
75.81257,103.63071,0.19854033
75.81257,104.00415,0.18785249
75.81257,104.377594,0.18477733
75.81257,104.75104,0.16957188
75.81257,105.12448,0.17197838
75.81257,105.497925,0.17652763
75.81257,105.87137,0.18522991
75.81257,106.24481,0.18576004
75.81257,106.618256,0.17705847
75.81257,106.9917,0.16781257
75.81257,107.36514,0.17065217
75.81257,107.73859,0.15095909
75.81257,108.11203,0.15438302
75.81257,108.48547,0.17486863
75.81257,108.858925,0.16463238
75.81257,109.23237,0.16900875
75.81257,109.60581,0.16703275
75.81257,109.979256,0.16954532
75.81257,110.3527,0.17702512
75.81257,110.72614,0.17508666
75.81257,111.09959,0.16566072
75.81257,111.47303,0.17677481
75.81257,111.84647,0.19909643
75.81257,112.21992,0.18875653
75.81257,112.59336,0.14611113
75.81257,112.966805,0.13617209
75.81257,113.34025,0.12772031
75.81257,137.6141,0.45679164
75.81257,137.98755,0.22100504
75.81257,138.361,0.27999365
75.81257,138.73444,0.27363122
75.81257,139.10788,0.22075814
75.81257,139.48132,0.096753374
75.81257,139.85477,0.17069714
