X,Y,Distancia,LabelLinea,Linea,Nodo,Nombre,Package,Ruta,Sublinea,ObjectId
-667375.144237482,4493988.00710261,0,27,27,1,Campana (Sierpes),540,2711,2710,1
-667375.144237482,4493988.00710261,10370,27,27,1,Campana (Sierpes),540,2712,2710,2
-666246.317957971,4493379.77194939,3982,01,1,2,Menéndez Pelayo (Puerta Carmona),540,111,110,3
-666246.317957971,4493379.77194939,4458,21,21,2,Menéndez Pelayo (Puerta Carmona),540,2112,2110,4
-666246.317957971,4493379.77194939,2650,C3,83,2,Menéndez Pelayo (Puerta Carmona),540,8311,8310,5
-666246.317957971,4493379.77194939,8206,A1,101,2,Menéndez Pelayo (Puerta Carmona),540,10112,10110,6
-666246.317957971,4493379.77194939,8206,A1,101,2,Menéndez Pelayo (Puerta Carmona),540,10114,10111,7
-666246.317957971,4493379.77194939,6068,A3,103,2,Menéndez Pelayo (Puerta Carmona),540,10312,10310,8
-666246.317957971,4493379.77194939,6068,A3,103,2,Menéndez Pelayo (Puerta Carmona),540,10314,10311,9
-666246.317957971,4493379.77194939,7190,A8,110,2,Menéndez Pelayo (Puerta Carmona),540,11012,11010,10
-666246.317957971,4493379.77194939,7190,A8,110,2,Menéndez Pelayo (Puerta Carmona),540,11014,11011,11
-666360.655019597,4493069.25422835,4247,01,1,3,Menéndez Pelayo (Puerta de La Carne),540,111,110,12
-666360.655019597,4493069.25422835,4723,21,21,3,Menéndez Pelayo (Puerta de La Carne),540,2112,2110,13
-666360.655019597,4493069.25422835,2915,C3,83,3,Menéndez Pelayo (Puerta de La Carne),540,8311,8310,14
-666360.655019597,4493069.25422835,8471,A1,101,3,Menéndez Pelayo (Puerta de La Carne),540,10112,10110,15
-666360.655019597,4493069.25422835,8471,A1,101,3,Menéndez Pelayo (Puerta de La Carne),540,10114,10111,16
-666360.655019597,4493069.25422835,7455,A8,110,3,Menéndez Pelayo (Puerta de La Carne),540,11012,11010,17
-666360.655019597,4493069.25422835,7455,A8,110,3,Menéndez Pelayo (Puerta de La Carne),540,11014,11011,18
-666550.314388654,4492607.50302776,5075,05,5,4,Menéndez Pelayo (Juzgados) [C][M],540,512,510,19
-666550.314388654,4492607.50302776,5119,21,21,4,Menéndez Pelayo (Juzgados) [C][M],540,2112,2110,20
-666550.314388654,4492607.50302776,8867,A1,101,4,Menéndez Pelayo (Juzgados) [C][M],540,10112,10110,21
-666550.314388654,4492607.50302776,8867,A1,101,4,Menéndez Pelayo (Juzgados) [C][M],540,10114,10111,22
