ObjectClass,Redshift,u,g,r,i,z,err_u,err_g,err_r,err_i,err_z,Teff,logg,FeH
STAR,-3.107.155,2.117.036,2.037.938,2.001.649,1.990.397,1.969.316,7.601.939,3.257.922,2.519.422,3.441.473,5.930.586,-9999,-9999,-9999
STAR,-2.514.536,2.232.892,2.028.886,1.934.361,1.893.302,1.878.264,2.095.283,2.744.251,2.168.393,257.943,4.193.475,-9999,-9999,-9999
STAR,-2.050.996,2.155.785,2.070.959,202.185,2.007.499,1.987.655,1.204.409,2.848.005,3.112.466,3.420.328,8.556.871,-9999,-9999,-9999
STAR,-3.106.778,2.354.688,242.424,2.209.013,2.110.877,2.055.419,4.795.661,3.528.529,8.818.488,5.255.603,1.405.157,-9999,-9999,-9999
STAR,-3.112.011,2.455.527,228.508,203.663,1.887.594,176.808,7.097.375,1.184.579,2.733.934,1.749.848,2.054.603,-9999,-9999,-9999
STAR,-2.201.944,2.452.368,2.149.737,1.914.787,1.760.929,1.652.156,5.746.443,4.672.527,2.096.509,2.263.649,2.273.533,-9999,-9999,-9999
STAR,-3.096.161,2.496.449,2.213.219,1.998.456,1.848.167,1.742.759,5.660.772,7.321.332,2.227.978,1.876.391,1.650.927,-9999,-9999,-9999
STAR,-2.646.156,2.205.802,2.069.881,1.793.002,1.606.575,1.456.789,1.359.653,2.443.378,1.209.426,1.130.426,1.720.374,-9999,-9999,-9999
STAR,-2.647.597,2.395.849,2.282.154,2.010.473,1.828.155,1.706.161,6.959.673,1.325.543,2.677.645,1.373.559,1.882.235,-9999,-9999,-9999
STAR,-3.333.092,2.312.696,2.088.177,1.898.408,1.776.384,1.681.351,1.023.042,3.150.022,1.553.971,2.673.106,2.082.308,-9999,-9999,-9999
STAR,-2.187.992,2.456.644,2.362.178,2.316.667,224.791,2.199.644,7.612.658,2.491.373,2.277.101,1.816.265,3.933.239,-9999,-9999,-9999
STAR,-2.562.682,247.055,2.431.242,2.328.076,2.088.686,1.900.841,9.806.631,4.211.532,363.893,6.790.154,5.187.815,-9999,-9999,-9999
STAR,-3.523.541,1.897.023,1.894.576,1.924.395,1.954.334,1.984.396,2.949.867,1.811.676,1.733.751,2.384.101,7.509.875,-9999,-9999,-9999
STAR,-3.530.775,2.347.692,2.413.461,2.094.243,1.917.838,178.351,502.178,3.629.116,3.930.064,2.728.776,2.824.679,-9999,-9999,-9999
STAR,-3.544.649,2.427.951,2.325.126,2.259.731,2.209.523,2.120.025,7.296.576,164.601,1.406.527,1.543.619,2.613.068,-9999,-9999,-9999
STAR,-3.584.648,2.556.006,230.963,2.078.854,1.942.844,1.847.648,7.517.211,1.771.369,358.749,211.194,2.482.413,-9999,-9999,-9999
STAR,-358.749,2.431.144,2.239.778,1.977.883,1.809.068,1.687.899,5.660.446,8.634.302,2.402.334,24.563,1.374.159,-9999,-9999,-9999
STAR,-3.794.951,229.529,2.325.542,1.990.585,1.734.734,1.526.201,3.083.977,2.158.351,2.182.154,1.482.976,1.707.612,-9999,-9999,-9999
STAR,-3.860.188,2.381.514,226.108,2.103.935,2.040.881,1.995.619,6.117.809,1.245.059,6.453.509,5.418.446,1.175.416,-9999,-9999,-9999
STAR,-4.020.396,2.060.626,1.960.652,1.924.976,190.742,1.902.231,6.618.346,2.383.958,1.656.632,1.943.207,4.218.087,-9999,-9999,-9999
STAR,-4.136.076,1.755.663,1.755.563,1.789.714,1.817.735,1.842.341,1.673.418,1.399.034,1.839.454,2.081.672,3.010.057,-9999,-9999,-9999
STAR,-1.759.664,1.675.739,1.592.373,1.544.834,1.533.664,1.530.095,1.548.997,150.065,9.057.456,1.056.317,1.621.928,6.415.069,3.597.023,-1.618.079
STAR,-1.814.903,2.119.118,2.039.808,2.005.215,2.001.312,1.993.843,8.172.337,2.504.304,2.279.361,2.972.979,9.375.186,-9999,-9999,-9999
STAR,-1.935.453,1.925.158,1.826.869,1.796.729,1.787.995,1.785.589,2.608.382,1.818.967,1.392.842,1.725.525,2.952.078,5.945.415,3.490.581,-2.901.499
STAR,-2.431.169,2.122.143,202.676,1.994.589,1.978.461,1.980.193,848.017,2.343.541,2.406.874,2.676.066,7.231.588,-9999,-9999,-9999
STAR,-3.010.864,2.458.683,2.353.444,2.189.622,2.060.729,1.985.541,9.635.482,2.736.806,9.652.822,5.233.633,1.005.945,-9999,-9999,-9999
STAR,-1.775.342,193.201,1.821.041,1.829.812,1.841.604,1.852.592,3.196.831,1.744.781,2.258.931,2.368.195,3.435.736,8.549.445,3.781.821,-1.408.401
STAR,-1.738.021,2.009.596,1.897.646,1.864.742,1.854.261,1.850.002,4.254.659,4.011.765,7.111.092,1.058.499,1.278.017,6.136.994,306.045,-1.703.087
STAR,-1.938.123,1.851.941,174.582,1.737.305,1.740.024,1.743.919,2.145.121,1.154.527,1.707.937,1.646.493,2.006.478,7.511.314,4.193.849,-1.937.807
STAR,-1.785.955,1.900.575,1.910.829,1.942.623,1.963.415,1.994.618,2.552.065,1.403.145,1.727.012,2.425.449,868.658,-9999,-9999,-9999
STAR,-2.030.709,2.075.453,1.984.574,1.946.894,1.936.089,1.936.153,5.646.069,1.752.019,1.895.957,3.979.402,1.102.451,-9999,-9999,-9999
STAR,-1.757.504,2.182.144,2.048.981,1.994.805,1.977.077,1.963.439,1.208.144,2.421.623,2.033.471,2.888.223,6.329.219,-9999,-9999,-9999
STAR,-3.108.696,234.183,2.165.615,2.074.635,2.017.423,1.966.532,7.386.714,6.725.314,4.575.984,3.886.244,977.667,-9999,-9999,-9999
STAR,-2.196.156,2.220.991,2.116.456,2.028.476,198.215,1.954.066,2.957.472,4.248.181,3.672.219,3.130.163,8.982.609,-9999,-9999,-9999
STAR,-1.958.602,2.383.064,2.353.816,2.188.222,2.091.871,2.062.296,633.966,2.835.811,9.447.792,5.800.672,1.444.617,-9999,-9999,-9999
STAR,-2.566.861,2.380.461,2.180.577,2.030.121,1.913.279,1.855.652,6.287.593,5.509.783,2.738.156,1.866.712,2.801.411,-9999,-9999,-9999
STAR,-2.022.316,220.243,2.095.976,203.811,2.008.168,1.973.899,1.794.846,3.109.502,252.945,2.904.916,7.218.222,-9999,-9999,-9999
STAR,-2.138.087,1.868.105,182.612,183.424,1.840.952,1.822.294,2.372.323,2.055.457,1.917.707,2.314.623,358.346,-9999,-9999,-9999
STAR,-3.337.567,2.364.373,2.238.253,2.037.018,1.984.473,1.970.303,4.464.032,9.328.414,3.232.736,3.002.135,869.216,-9999,-9999,-9999
STAR,-1.988.676,1.823.499,1.790.774,180.345,1.817.046,1.841.842,1.872.449,1.713.093,1.177.642,1.462.913,3.332.992,-9999,-9999,-9999
