Año,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996
Total,47.385.107,47.450.795,47.026.208,46.722.980,46.572.132,46.557.008,46.624.382,46.771.341,47.129.783,47.265.321,47.190.493,47.021.031,46.745.807,46.157.822,45.200.737,44.708.964,44.108.530,43.197.684,42.717.064,41.837.894,41.116.842,40.499.791,40.202.160,39.852.651, ,39.669.394
02 Albacete,386.464,388.270,388.167,388.786,390.032,392.118,394.580,396.987,400.007,402.837,402.318,401.682,400.891,397.493,392.110,387.658,384.640,379.448,376.556,371.787,367.283,363.263,361.021,358.597, ,359.010
03 Alicante/Alacant,1.881.762,1.879.888,1.858.683,1.838.819,1.825.332,1.836.459,1.855.047,1.868.438,1.945.642,1.943.910,1.934.127,1.926.285,1.917.012,1.891.477,1.825.264,1.783.555,1.732.389,1.657.040,1.632.349,1.557.968,1.490.265,1.445.144,1.410.946,1.388.933, ,1.379.762
04 Almería,731.792,727.945,716.820,709.340,706.672,704.297,701.211,701.688,699.329,704.219,702.819,695.560,684.426,667.635,646.633,635.850,612.315,580.077,565.310,546.498,533.168,518.229,512.843,505.448, ,501.761
01 Araba/Álava,333.626,333.940,331.549,328.868,326.574,324.126,323.648,321.932,321.417,322.557,319.227,317.352,313.819,309.635,305.459,301.926,299.957,295.905,294.360,291.860,288.793,286.497,285.748,284.595, ,281.821
33 Asturias,1.011.792,1.018.784,1.022.800,1.028.244,1.034.960,1.042.608,1.051.229,1.061.756,1.068.165,1.077.360,1.081.487,1.084.341,1.085.289,1.080.138,1.074.862,1.076.896,1.076.635,1.073.761,1.075.381,1.073.971,1.075.329,1.076.567,1.084.314,1.081.834, ,1.087.885
05 Ávila,158.421,157.664,157.640,158.498,160.700,162.514,164.925,167.015,168.825,171.265,172.704,171.896,171.680,171.815,168.638,167.818,167.032,166.108,165.480,165.138,163.885,164.991,166.259,167.132, ,169.342
06 Badajoz,669.943,672.137,673.559,676.376,679.884,684.113,686.730,690.929,693.729,694.533,693.921,692.137,688.777,685.246,678.459,673.474,671.299,663.896,663.142,662.808,664.251,661.874,664.625,663.803, ,656.848
07 Balears,1.173.008,1.171.543,1.149.460,1.128.908,1.115.999,1.107.220,1.104.479,1.103.442,1.111.674,1.119.439,1.113.114,1.106.049,1.095.426,1.072.844,1.030.650,1.001.062,983.131,955.045,947.361,916.968,878.627,845.630,821.820,796.483, ,760.379
08 Barcelona,5.714.730,5.743.402,5.664.579,5.609.350,5.576.037,5.542.680,5.523.922,5.523.784,5.540.925,5.552.050,5.529.099,5.511.147,5.487.935,5.416.447,5.332.513,5.309.404,5.226.354,5.117.885,5.052.666,4.906.117,4.804.606,4.736.277,4.706.325,4.666.271, ,4.628.277
